[2025-10-24--21-43-20 INFO actix_server::builder] starting 5 workers
[2025-10-24--21-43-20 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2025-10-24--21-43-20 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2025-10-24--21-43-21 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2025-10-24--21-43-23 INFO txtx::svm::deploy_program] [Recovery Instructions] - An ephemeral authority account will be created and funded to write to the buffer account.
[2025-10-24--21-43-23 INFO txtx::svm::deploy_program] [Recovery Instructions] - Please save the following information in case the deployment fails and the account needs to be recovered:
[2025-10-24--21-43-23 INFO txtx::svm::deploy_program] [Recovery Instructions] - Ephemeral authority public key: Di2Xa1XshetVhadab8Z9573zKtf8dqh5utgj9B1PLDFH
[2025-10-24--21-43-23 INFO txtx::svm::deploy_program] [Recovery Instructions] - Ephemeral authority secret key: [207, 227, 44, 168, 199, 218, 164, 150, 79, 22, 170, 63, 192, 247, 41, 13, 242, 136, 92, 207, 204, 89, 240, 235, 254, 213, 119, 25, 199, 145, 16, 229, 188, 206, 200, 110, 86, 60, 145, 1, 90, 44, 239, 156, 178, 162, 22, 157, 164, 208, 116, 43, 72, 140, 146, 125, 19, 81, 126, 38, 186, 139, 239, 196]
[2025-10-24--21-43-23 INFO txtx::svm::deploy_program] Account Created - Ephemeral authority account created and funded to write to buffer
[2025-10-24--21-43-23 INFO txtx::svm::deploy_program] [Recovery Instructions] - Creating program buffer account at pubkey 9ASMaFCP1DdrD4jqTYSaFFRjbuZqXsdXVhBqivpv7Ktx
[2025-10-24--21-43-24 INFO txtx::svm::deploy_program] Account Created - Program buffer account created
[2025-10-24--21-43-29 INFO txtx::svm::deploy_program] Buffer Ready - Writing to buffer account is complete
[2025-10-24--21-43-30 INFO txtx::svm::deploy_program] Program Created - Program EPMnZjL1qQsCeAoQh4iQWhJswbNY6L32xu5Y2PtrPwsM has been deployed
[2025-10-24--21-43-31 INFO txtx::svm::deploy_program] Complete - Ephemeral authority account closed and leftover funds returned to payer
[2025-10-24--21-44-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33808.
[2025-10-24--21-44-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35152.
[2025-10-24--21-50-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47758.
[2025-10-24--21-50-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47766.
[2025-10-24--21-50-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47772.
[2025-10-24--21-53-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46736.
[2025-10-24--21-53-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46744.
[2025-10-24--21-53-08 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46746.
[2025-10-24--21-53-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51794.
[2025-10-24--21-53-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51802.
[2025-10-24--21-53-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51804.
[2025-10-24--21-54-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37358.
[2025-10-24--21-54-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37366.
[2025-10-24--21-54-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37370.
[2025-10-24--21-55-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40124.
[2025-10-24--21-55-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40132.
[2025-10-24--21-55-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40138.
[2025-10-24--21-56-51 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33272.
[2025-10-24--21-56-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50860.
[2025-10-24--21-56-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50870.
[2025-10-24--21-58-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41584.
[2025-10-24--21-58-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49406.
[2025-10-24--21-58-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49420.
[2025-10-24--22-00-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48836.
[2025-10-24--22-00-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48846.
[2025-10-24--22-02-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47830.
[2025-10-24--22-02-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47836.
